,Вопрос,1,2,3,4,Правильный ответ
2849,На печать какого из этих произведений Л.Толстого понадобится наибольшее количество бумаги?,«Анна Каренина»,«Детство»,«Война и мир»,«Воскресение»,3.0
2850,Какой запах у синильной кислоты?,Айвы,Миндаля,Помидора,Арбуза,2.0
2851,Что в 2006 году помешало М.Шумахеру взойти на пьедестал на Гран-при Бразилии?,Дождь,Ветер,Прокол колеса,Плохой бензин,3.0
2852,"Как в к/ф «Девчата» называлось место, где по вечерам сидели парочками?",Сахалин,Камчатка,Таймыр,Колыма,2.0
2853,Какой паук строит подводные гнёзда?,Крестовик,Каракурт,Серебрянка,Тарантул,3.0
2854,Где наименование столицы не совпадает с названием государства?,Сингапур,Алжир,Тунис,Кения,4.0
2855,Какое изображение на бирке товара предупреждает: «Беречь от влаги»?,Кран,Ванна,Зонтик,Подгузник,3.0
2856,Как называется известная телевикторина?,«Кто? Зачем? Почему?»,«Что? Где? Когда?»,«Куда? К кому? Зачем?»,«Где? Что? За сколько?»,2.0
2857,Как заканчивается название одной из серий киноэпопеи «Звездные войны» — «Империя…»?,Наносит ответный удар,Бьёт хуком справа,Применяет апперкот,Посылает в нокаут,1.0
2858,Какой из этих врачей прописывает стельки?,Офтальмолог,Логопед,Ортопед,Гомеопат,3.0
2859,"Откуда, по верованиям древних индусов, появилась река Ганг?",Свалилась с Луны,Спустилась с неба,Вернулась из океана,Сбежала из Китая,2.0
2860,Сколько раз во время венчания православный священник обводит вокруг аналоя жениха и невесту?,Один,Два,Три,Четыре,3.0
2861,Что забил «в пушку туго» герой стихотворения М. Ю. Лермонтова «Бородино»?,Снаряд,Заряд,Картечь,Ядро,2.0
2862,Какая порода собак является миниатюрной копией грейхаунда?,Левретка,Такса,Болонка,Чау-чау,1.0
2863,Кто автор музыкальной фантазии «Карнавал животных»?,Джузеппе Верди,Игорь Стравинский,Морис Равель,Камиль Сен-Санс,4.0
2864,Как часто называют период романтических отношений влюблённых перед свадьбой?,Чайно-кофейный,Молочно-кисельный,Конфетно-букетный,Алмазно-машинный,3.0
2865,"Что, согласно народной примете, имеется у счастливого человека?",12 пальцев,2 макушки,4 глаза,64 зуба,2.0
2866,Что запрашивает банкомат у владельца банковской карты?,Фамилию,Паспорт,ПИН-код,Чаевые,3.0
2867,"Что, согласно песне, должна была сберечь Катюша, когда её возлюбленный оберегал родную землю?",Любовь,Надежду,Дом,Яблони и груши,1.0
2868,Землю какой страны топчут священные коровы?,Япония,Турция,Индия,Тунис,3.0
2869,Какое масло ценится на вес золота?,Оливковое,Льняное,Подсолнечное,Розовое,4.0
2870,"Про изделия какого промысла Б. Кустодиев говорил, что они цветут «колдовскими синими цветами»?",Гжель,Палех,Хохлома,Жостово,1.0
2871,Какой словарь нельзя купить в магазине?,Русско-чешский,Русско-арабский,Русско-алжирский,Русско-албанский,3.0
2872,Какой танец исполняют под мелодию «Кумпарситы»?,Танго,Вальс,Фокстрот,Чарлстон,1.0
2873,Какая актриса никогда не удостаивалась премии «Оскар»?,Одри Хелбёрн,Мэрилин Монро,Элизабет Тейлор,Вивьен Ли,2.0
2874,Шорты какого цвета были на Зидане в финальном матче чемпионата мира по футболу 2006 года?,Синего,Красного,Белого,Чёрного,3.0
2875,"Как заканчивается фраза кота Матроскина: «Лапы, хвост и усы! Вот…»?",Мои документы,Мой имидж,Моё богатство,Что нравится кошкам,1.0
2876,Какой продюсер встречается в титрах фильма?,Безотказный,Обязательный,Исполнительный,Сбежавший,3.0
2877,С каким из этих слов связано понятие «демографический»?,Треск,Взрыв,Тарарам,Извержение,2.0
2878,Какие штаны невозможно протереть на коленках?,Джинсы,Галифе,Шорты,Шаровары,3.0
2879,Кто на службе часто повторяет фразы: «Посмотрите налево. Посмотрите направо»?,Дворник,Продавец,Милиционер,Экскурсовод,4.0
2880,"Что подадут в ресторане, если вы закажете фуа-гра?",Стейк из лосося,Баранину на косточке,Гусиную печень,Сыр,3.0
2881,Что обозначает номер иглы для швейной машинки?,Толщину,Длину,Металл,Производителя,1.0
2882,Женой какого художника была русская балерина Ольга Хохлова?,С. Дали,П. Пикассо,А. Модильяни,А. Матисса,2.0
2883,"Как звали царя, трое сыновей которого тоже стали русскими царями?",Алексей,Михаил,Фёдор,Пётр,1.0
2884,"Какая теннисистка левша, но играет правой рукой?",Елена Дементьева,Мария Шарапова,Штеффи Граф,Мартина Хингис,2.0
2885,На каком языке были написаны мемуары Екатерины II?,На немецком,На английском,На французском,На русском,3.0
2886,Как заканчивается известное утверждение сторонников теории Дарвина: «Человек…»?,Высижен птицами,Воспитан рыбами,Произошёл от обезьяны,Съел всех мамонтов,3.0
2887,Как расшифровывается буква «Е» в аббревиатуре ЕГЭ?,Единственный,Единый,Единообразный,Ежедневный,2.0
2888,Как порой называют прополку?,Схватка с салатом,Стычка с помидорами,Битва с сорняками,Брань с лопатой,3.0
2889,"Что из перечисленного указывает на то, что человек уже не занимает данную должность?",Вице-,Экс-,Обер-,Архи-,2.0
2890,Какая детская сказка показывает преимущества капитального строительства?,«Красная Шапочка»,«Гуси-Лебеди»,«Алиса в Стране чудес»,«Три поросёнка»,4.0
2891,Какую реку символизирует белая полоса на государственном флаге Австрии?,Рейн,Дунай,Луару,По,2.0
2892,Что не упоминается в названии фильма Гая Ричи 1998 года?,Стол,Карты,Деньги,Два ствола,1.0
2893,На площадке какой игры есть специальное устройство отсчёта 24-х секунд?,Теннис,Волейбол,Гандбол,Баскетбол,4.0
2894,На гербе какого города изображён верблюд?,Челябинск,Ярославль,Кострома,Саратов,1.0
2895,Какая восьмёрка стала знаком бесконечности?,Бегущая,Скачущая,Лежащая,Подшофе,3.0
2896,Кто обычно оплачивает счёт за междугородный разговор с домашнего телефона?,Звонящий,Подслушивающий,Министр связи,Правнуки Белла,1.0
2897,Что делает растение росянка?,Захватывает оранжерею,Ловит рыбку,Питается насекомыми,Охотится за садовником,3.0
2898,"Как заканчивается русская пословица: «Выбирай жену не в хороводе, а…»?",В походе,В огороде,По моде,На заводе,3.0
2899,Как называется один из видов мужской стрижки?,Скобка,Запятая,Тире,Абзац,1.0
2900,Столица какого государства находится на юге Апшеронского полуострова?,Армении,Азербайджана,Грузии,Казахстана,2.0
2901,Какого известного певца зовут не Валерий?,Леонтьев,Меладзе,Губин,Сюткин,3.0
2902,Что в переводе с французского означает слово «жалюзи»?,Нежность,Старость,Любовь,Ревность,4.0
2903,"Какими, согласно рекламе, будут зубы, если их регулярно чистить?",Здоровыми,Большими,Кривыми,Ровными,1.0
2904,Какое из этих слов является визитной карточкой Владимира Жириновского?,Немудрено,Элементарно,Однозначно,Примитивненько,3.0
2905,"Как заканчивается строчка детской песенки: «Рыжий папа, рыжий дед! Рыжим стал…»?",Я,Наш сосед,Клоун Вася,Весь белый свет,4.0
2906,Из чего отлита фигура Медного всадника?,Бронза,Алюминий,Латунь,Олово,1.0
2907,Как в Польше принято обращаться к мужчине?,Сэр,Дон,Пан,Месье,3.0
2908,Где Юлия Цезаря настигли ножи заговорщиков?,На площади,В сенате,Дома,На корабле,2.0
2909,"Что, согласно мнению Алисы из сказки Льюиса Кэрролла, делают люди, попробовав уксуса?",Огорчаются,Куксятся,Лукавят,Добреют,2.0
2910,В каком фильме А. Тарковского главную женскую роль сыграла Маргарита Терехова?,«Зеркало»,«Солярис»,«Сталкер»,«Ностальгия»,1.0
2911,Какая фраза является продолжением русской пословицы: «На чужой каравай…»?,Соль не сыпь,Рот не разевай,Муку не отдавай,Колбасу не клади,2.0
2912,"Как заканчивается объявление в метро: «Находясь на эскалаторе, держитесь…»?",За поручень,За спутника,За карман,Мужественно,1.0
2913,"Что теряет спортсмен, который долго не тренировался?",След,Форму,Совесть,Нюх,2.0
2914,"Какая характеристика не относится к Атосу, другу д'Артаньяна?",Бывший муж миледи,Граф де Ла Фер,Мушкетёр короля,Фанат Ришельё,4.0
2915,"Как звали вождя индейцев, который в XVIII веке боролся с английскими колонизаторами?",Понтиак,Бьюик,Фиат,Жигули,1.0
2916,"Какое химическое вещество, согласно энциклопедиям, не имеет запаха, вкуса и цвета?",Фосфор,Бром,Вода,Мышьяк,3.0
2917,Сколько шейных позвонков у жирафа?,5,7,9,11,2.0
2918,Какой из этих монахов прославился как летописец?,Макарий Великий,Сергий Радонежский,Пересвет,Нестор,4.0
2919,Какая достопримечательность Парижа работает без выходных?,Лувр,Эйфелева башня,Музей Орсе,Центр Помпиду,2.0
2920,Музыка какого композитора легла в основу гимна Европейского союза?,А. Шнитке,Ф. Шопена,В. Моцарта,Л. ван Бетховена,4.0
2921,"Как называются образные выражения или слова, сташие известными?",Пернатые,Крылатые,Рукокрылые,Ластоногие,2.0
2922,Как называется одна из музыкальных групп?,«Сметана»,«Ряженка»,«Сливки»,«Простокваша»,3.0
2923,Каким свойством обладает магнит?,Притягивает железо,Ангажирует свинец,Соблазняет алюминий,Транжирит золото,1.0
2924,С какого дерева собирают фиги?,Мирт,Инжир,Пальма,Бадьян,2.0
2925,Что сейчас традиционно сопровождается закадровым смехом?,Триллер,Вестерн,Ситком,Блокбастер,3.0
2926,Что из перечисленного является запеканкой?,Паэлья,Пунш,Пудинг,Плов,3.0
2927,"Сколько всего конечностей у 4-х кенгуру, 2-х стрекоз и 3-х лемуров?",36,40,44,46,2.0
2928,Какая певица вышла замуж за капитана футбольной команды «Зенит» Владислава Радимова?,Кристина Орбакайте,Наташа Королёва,Маша Распутина,Татьяна Буланова,4.0
2929,На территории какого города находится Гефсиманский сад?,Иерусалим,Тель-Авив,Хайфа,Назарет,1.0
2930,Спутником какой планеты Солнечной системы является Пандора?,Юпитера,Урана,Нептуна,Сатурна,4.0
2931,Какая мебель действительно существует?,Стол-книжка,Стул-брошюрка,Лавка-журнальчик,Табуретка-газетка,1.0
2932,Что разносит проводница в поезде?,Столовое серебро,Постельное бельё,Запасные колёса,Сплетни про машиниста,2.0
2933,Что можно приобрести в компьютерном салоне?,Коврик для мыши,Тапочки для кошки,Шубку для собаки,Расчёску для ежа,1.0
2934,Что компакт-диски вытеснили с музыкального рынка?,Гитары,Пианино,Микрофоны,Грампластинки,4.0
2935,Фигурка какого животного венчает шпиль башни Домского собора в Риге?,Петушка,Собаки,Кота,Осла,1.0
2936,"На производство чего идут такие же материалы, как и на производство фарфора?",Терракоты,Фаянса,Бронзы,Мельхиора,2.0
2937,Уменьшительная форма какого имени звучит как Груша?,Агриппина,Агафья,Евдокия,Фёкла,1.0
2938,Сколько всего шашек в игре нарды?,16,20,24,30,4.0
2939,Кто в 1943 году победил в конкурсе юных талантов на ярмарке штатов Алабама и Миссисипи?,Мик Джаггер,Элвис Пресли,Боб Дилан,Элтон Джон,2.0
2940,Каким из этих орденов в дореволюционной России награждали женщин?,Святой Анны,Святой Екатерины,Святого Владимира,Святого Станислава,2.0
2941,Какой из этих металлов может плавиться в руке человека?,Галлий,Хром,Гафний,Рений,1.0
2942,После завершения какого произведения его автор написал: «Сегодня — я гений»?,«Евгений Онегин»,«Мцыри»,«Двенадцать»,«Василий Тёркин»,3.0
2943,Что не входит в стоимость отправки посылки наложенным платежом?,Сумма вложения,Почтовый тариф,Страховой сбор,Улыбка почтальона,4.0
2944,Как порой характеризуют густые щи?,Нож торчит,Вилка оттопыривается,Ложка стоит,Зубы вязнут,3.0
2945,Как называют ценность денежного знака?,Достоинство,Честь,Верность,Доброта,1.0
2946,Какого цвета герой телесериала инопланетянин Альф?,Зелёного,Рыжего,Чёрного,Голубого,2.0
2947,Где плебеи противостояли патрициям?,Финикия,Древняя Греция,Древний Рим,Ассирия,3.0
2948,В какой программе Первого канала воссоединился дуэт А.Цекало и Лолиты?,«Фабрика звёзд»,«Две звезды»,«Звёзды на льду»,«Большие гонки»,2.0
2949,"Как ещё, кроме пензенец, традиционно называют жителя города Пензы?",Пензяк,Пензечанин,Пензин,Пензанин,1.0
2950,От какого английского глагола произошло слово «слоган»?,Запоминать,Продавать,Отмечать,Ударять,4.0
2951,Какое сооружение в Москве до 1957 года было правительственным гаражом?,Стадион «Динамо»,Грановитая палата,Манеж,ГУМ,3.0
2952,Сколько монархий находится на Скандинавском полуострове?,Одна,Две,Три,Четыре,2.0
2953,Какой герой греческой мифологии первым похитил Елену Прекрасную?,Тесей,Одиссей,Персей,Парис,1.0
2954,Кто после путешествия в Россию написал «Русский дневник»?,Я. Гримм,Ш. Перро,Л. Кэрролл,К. Коллоди,3.0
2955,Какая их этих картин имеет второе название «Не в пору гость»?,«Не ждали»,«Завтрак аристократа»,«Сватовство майора»,«Чаепитие в Мытищах»,2.0
2956,Что является наиболее распространённой формой подарка?,Коробка конфет,Бочка варенья,Корзина печенья,Холодильник мороженого,1.0
2957,"Что, согласно русской пословице, должен сделать тот, кто сказал «а»?",Написать «ё»,Нарисовать «д»,Сказать «б»,Оценить «я»,3.0
2958,Как называют процесс представления кандидатской?,Оборона,Защита,Атака,Марш-бросок,2.0
2959,К какой одежде кисет и трубка прикреплялись при помощи нэцке?,Сари,Пончо,Килт,Кимоно,4.0
2960,У какого киногероя в каждой серии новая девушка?,Человек-паук,Супермен,Джеймс-Бонд,Тарзан,3.0
2961,"Какое млекопитающее, подобно ежу, в случае опасности сворачивается в клубок?",Коала,Ехидна,Кенгуру,Сумчатый дьявол,2.0
2962,Какое время считается лучшим для заготовки бересты?,Начало Зимы,Начало Весны,Начало Лета,Начало Осени,3.0
2963,"На каком музыкальном инструменте парень не мог играть, гуляя по улице?",Тальянка,Хромка,Ливенка,Фисгармония,4.0
2964,В каком городе родилась актриса Людмила Гурченко?,Одесса,Киев,Харьков,Ялта,3.0
2965,За какую отличительную черту император Фридрих I получил прозвище Барбаросса?,Светлые волосы,Рыжую бороду,Зелёные глаза,Большие уши,2.0
2966,Какое из этих государств первым признало независимость США?,Франция,Великобритания,Португалия,Россия,1.0
2967,"Какой вопрос звучит, когда разгадывают кроссворд вдвоём?",Третьим будешь?,Сколько букв?,Сколько стоит?,В каком смысле?,2.0
2968,"Как называется народная сказка, в которой есть слова: «…внучка за бабку, бабка за детку…»?",«Свёкла»,«Редиска»,«Репка»,«Овощная вендетта»,3.0
2969,Что можно сказать про шахматиста?,Ходит сидя,Бежит лёжа,Ползёт стоя,Плывёт летая,1.0
2970,Что визажист наносит самой большой кисточкой?,Тени,Помаду,Пудру,Тушь,3.0
2971,На каком дорожном знаке нет фигурок людей?,«Дети»,«Жилая зона»,«Дорожные работы»,«Скользкая дорога»,4.0
2972,Какой музыкант может исполнить пиццикато?,Пианист,Скрипач,Трубач,Барабанщик,2.0
2973,Президентом какого государства в 1999 году избрана женщина?,Туркмения,Казахстан,Молдавия,Латвия,4.0
2974,"Что должен надеть мужчина на приём, если в приглашении написано: «Black Tie»?",Чёрный свитер,Серый костюм,Смокинг,Фрак,3.0
2975,Какое из этих слов является синонимом слова «сакраментальный»?,Хвалебный,Одобрительный,Священный,Чужестранный,3.0
2976,"Что в 1891 году было открыто концертом, которым дирижировал П. И. Чайковский?",Ла Скала,Карнеги-холл,Гранд-опера,МХТ,2.0
2977,Какую деталь красноармейской шинели периода Гражданской войны называли «разговоры»?,Застёжки,Воротник,Карманы,Рукава,1.0
2978,Какой город не входит в тройку мировых центров Всемирной службы погоды?,Мельбурн,Вашингтон,Москва,Токио,4.0
2979,"Какой из этих городов был взят штурмом войсками Тамерлана, а затем разрушен?",Козельск,Чернигов,Елец,Муром,3.0
2980,Как называют систему магазинов?,Сачок,Сеть,Невод,Капкан,2.0
2981,Как звучит одна из русских пословиц?,Наглость не мёд,Богатство не яд,Бедность не порок,Скромность не проблема,3.0
2982,Что у наших предков ходило из рук в руки?,Берестяные грамоты,Лубочные паспорта,Дубовые удостоверения,Пеньковые фото,1.0
2983,Как футболисты «Спартака» осенью 2006 года добирались в Лужники на игру с командой «Интер»?,На такси,На лыжах,На роликах,На метро,4.0
2984,На берегу какой реки можно услышать звон Биг-Бена?,Сена,Темза,Дунай,Тибр,2.0
2985,На упаковке какого продукта срок годности указывается в часах?,Овсяное печенье,Шоколад,Эклер,Козинаки,3.0
2986,При написании какой картины художнику не понадобился натурщик?,«Боярыня Морозова»,«Бурлаки на Волге»,«Явление Христа народу»,«Корабельная роща»,4.0
2987,Кто из перечисленных не входил в первую тройку советских космонавтов?,Юрий Гагарин,Герман Титов,Андриян Николаев,Валерий Быковский,4.0
2988,С какого вокзала Москвы отправляется знаменитый поезд № 2 во Владивосток?,С Ярославского,С Казанского,С Белорусского,С Павелецкого,1.0
2989,"Сколько лепестков у хризантемы, которую можно увидеть на обложке загранпаспорта японца?",6,16,24,32,4.0
2990,Кто в феврале 2006 года получил «Грэмми» за лучшее классическое сольное исполнение?,Юрий Башмет,Евгений Кисин,Максим Венгеров,Денис Мацуев,2.0
2991,Как с середины XIX века в США называют дорогу переселения индейцев с юго-востока?,Тропа Санта-фе,Ворота на Запад,Тропа великих воинов,Тропа слёз,4.0
2992,Какой хоккеист впервые надел маску вратаря?,Жорж Везина,Доминик Гашек,Клинт Бенедикт,Кеннет Драйден,3.0
2993,"Что делает свежий огурчик, когда его надкусывают?",Звенит,Хрустит,Лепечет,Вопит,2.0
2994,Как в к/ф «Иван Васильевич меняет профессию» Иван Грозный назвал предложенный ему спортивный костюм?,Бесовская одёжа,Дьявольское платье,Чумовые шмотки,Отпадный прикид,1.0
2995,Что явилось причиной разрушения сказочного теремка?,Переселение народов,Ссора соседей,Визит медведя,Реформа ЖКХ,3.0
2996,Как заканчивается фраза из оперетты: «Без женщин…»?,Как-то скучно,Почему-то тихо,Жить нельзя на свете,И нас бы не было,3.0
2997,Где победитель должен выложить из кармана больше всех?,В эстафете,На чемпионате,В марафоне,На аукционе,4.0
2998,На каком континенте с первыми путешественниками из Европы не здоровались аборигены?,Африка,Австралия,Северная Америка,Антарктида,4.0
2999,Что Публий Сир назвал «безмолвной рекомендацией»?,Платье,Ум,Красоту,Речь,3.0
3000,В какой области примерно 1/8 часть территории к 1947 году ушла под воду?,В Воронежской,В Смоленской,В Рязанской,В Ярославской,4.0
3001,За сборную какой страны Диего Марадона играл на чемпионатах мира по футболу?,Аргентина,Бразилия,Италия,Испания,1.0
3002,Какой режиссёр награждён медалью «Пурпурное сердце»?,Мел Гибсон,Стивен Спилберг,Оливер Стоун,Джордж Лукас,3.0
3003,"Как заканчивается напутствие Иисуса Христа ученикам: «Будьте мудры, как змии, и просты…»?",Как бедняки,Как я,Как голуби,Как правда,3.0
3004,Как в популярной игре заканчивается фраза: «Что делать этому…»?,Франту,Фанту,Козырю,Пижону,2.0
3005,"Как говорят о волосах, с трудом поддающихся укладке?",Несговорчивые,Непослушные,Неудержимые,Неукротимые,2.0
3006,Что означают цифры в названии группы «Город 312»?,Код города,Код страны,Номер квартиры,Шифр для встречи,1.0
3007,Какую форму будет иметь капля воды в невесомости?,Куб,Цилиндр,Конус,Шар,4.0
3008,После какого события Наполеон Бонапарт стал Наполеоном Первым?,Победа в войне,Коронация,Женитьба,Рождение сына,2.0
3009,Кого можно рассупонить?,Курицу,Свинью,Лошадь,Барана,3.0
3010,Какая монета «бережёт» фунт стерлингов?,Цент,Пфенниг,Сантим,Пенс,4.0
3011,"У кого было пять детей: мальчики Серёжа, Андрей, Всеволод и девочки Вера и Александра?",Павел Третьяков,Павел Рябушинский,Савва Мамонтов,Павел Демидов,3.0
3012,В какой стране в настоящее время проживает духовный правитель Тибета далай-лама?,Монголия,Непал,Китай,Индия,4.0
3013,Какое из этих слов происходит от латинского «приглашаю»?,Прокурор,Юрист,Адвокат,Эксперт,3.0
3014,Разновидностью какого минерала является изумруд?,Алмаза,Берилла,Корунда,Топаза,2.0
3015,Какая часть тела человека имеет крылья?,Рука,Губы,Нос,Спина,3.0
3016,Как заканчивается одно из определений кинематографа: «24 кадра…»?,Для вас,В секунду,Даром,Вместо рекламы,2.0
3017,Что школьники традиционно дарят педагогам в День учителя?,Цветы,Указки,Свои дневники,Труды Макаренко,1.0
3018,"Какой герой мультфильма пел в компании Осла, Кота, Петуха и Пса?",Дядя Фёдор,Винни-Пух,Трубадур,Умка,3.0
3019,Где состоялось последнее объяснение между Отелло и Дездемоной?,В саду,В сторожевой башне,В зале приёмов,В спальне,4.0
3020,"У какого растения нет ни корней, ни стеблей, ни листьев?",Лилия,Камыш,Ламинария,Осока,3.0
3021,В каком виде спорта после первого же розыгрыша счёт обязательно становится 15:0?,Регби,Бейсбол,Сквош,Теннис,4.0
3022,Какое слово начинает текст Конституции РФ?,Ты,Вы,Мы,Они,3.0
3023,В клипах какой группы снялась Алисия Сильверстоун?,«А-ха»,«Аэросмит»,«Скорпионс»,«Пинк флойд»,2.0
3024,Сколько дочерей было у Мнемозины — греческой богини памяти?,Семь,Девять,Одиннадцать,Тринадцать,2.0
3025,Где в Москве установлен знак нулевого километра дорог Российской Федерации?,Иверские ворота,Театральная площадь,Триумфальная площадь,Улица Арбат,1.0
3026,Отец какой из этих знаменитых женщин был бакалейщиком?,Мэрилин Монро,Маргарет Тэтчер,Синди Кроуфорд,Барбары Стрейзанд,2.0
3027,Какой римский император написал философское сочинение «Наедине с собой»?,Марк Аврелий,Веспасиан,Клавдий,Тиберий,1.0
3028,Как заканчивается название одного из видов справочников — «Для поступающих…»?,В музы,В вузы,В ТЮЗы,Плохо,2.0
3029,"Кто с кем остаётся один на один, когда назначают пенальти?",Игрок с вратарём,Вратарь с тренером,Судья с болельщиком,Комментатор со зрителем,1.0
3030,"Как заканчивается стихотворная строка Александра Блока: «Ночь, улица, фонарь…»?",Подъезд,Хулиган,Аптека,Библиотека,3.0
3031,"Что говорят о новобранце, который ещё не участвовал в серьёзных сражениях?",Пули не слышал,Пороху не нюхал,Портянки не гладил,Устав не читал,2.0
3032,"Какая буква заключена в окружность в значке, предупреждающем о защите авторских прав?",A,B,C,D,3.0
3033,"Сколько конечностей у существа, которое вырастает из головастика?",Две,Четыре,Шесть,Восемь,2.0
3034,"Где расположена биржа, на которой формируется индекс Доу — Джонса?",Лондон,Нью-Йорк,Цюрих,Токио,2.0
3035,Какой музыкальный инструмент упоминается в песне «Под музыку Вивальди»?,Клавесин,Орган,Арфа,Пианино,1.0
3036,В какой игре по официальным правилам мяч может быть «живым» или «мёртвым»?,Волейбол,Гандбол,Баскетбол,Водное поло,3.0
3037,Кто считается покровителем Венеции?,Иоанн,Лука,Матфей,Марк,4.0
3038,"Как называется яйцо, сваренное гуще, чем всмятку, но не вкрутую?",В сумочку,В кулёчек,В мешочек,В рюкзачок,3.0
3039,Как заканчивается известное утверждение: «Понедельник…»?,Утро туманное,День тяжёлый,Вечер проблемный,Шаг к воскресенью,2.0
3040,Что образуют слоны?,Отряд хоботных,Класс ушастых,Род толстокожих,Семейство тучных,1.0
3041,"Кто плакал над задачей в «Песенке первоклассника», которую исполняла А. Пугачёва?",Профессор,Кандидат наук,Доктор наук,Вся семья,2.0
3042,Какая фраза стала визитной карточкой Джеймса Бонда?,Бонд Джеймс Бонд,Джеймс. Уже Бонд,Бонд. Просто Бонд,"Хелло, Джимми",1.0
3043,"Сколько нужно банкнот с изображением Большого театра, чтобы обменять их на одну с изображением Ярославля?",Две,Пять,Десять,Двенадцать,3.0
3044,Какая часть цветка после опыления становится плодом?,Пестик,Тычинка,Лепесток,Чашелистик,1.0
3045,Когда началась последняя трапеза Христа с учениками?,Утром,В полдень,Вечером,Ночью,3.0
3046,В какую страну конструктор Игорь Сикорский эмигрировал из России?,В Финляндию,Во Францию,В Японию,В США,4.0
3047,Какая птица прилетает с зимовки в среднюю полосу России позднее остальных?,Соловей,Грач,Скворец,Иволга,4.0
3048,Какой архитектор представил проект Дворца Советов в Москве?,Роберт Адам,Шарль Ле Корбюзье,Джон Нэш,Кристофер Рен,2.0
3049,Кто был первым талисманом чемпионата мира по футболу?,Львёнок Вилли,Пастушок Гаучито,Пёс Стайкер,Петушок Футикс,1.0
3050,"Что есть и у сотрудника ГИБДД, и у чайника?",Жезл,Радар,Свисток,Звание,3.0
3051,Как порой называют журналистский дебют?,Заточка карандаша,Проба пера,Расход чернил,Пытка бумаги,2.0
3052,Кто ловит на наживку?,Вратарь,Таксист,Рыболов,Сваха,3.0
3053,Под каким названием вошла в историю Гражданская война в США?,Полюса и Экватора,Севера и Юга,Белого и Чёрного,Верха и Низа,2.0
3054,Сколько гипотенуз может быть у одного треугольника?,Одна,Две,Три,Четыре,1.0
3055,На обёртке какой продукции в начале XX века печатали ноты «Шоколадного вальса» и «Кекс-галопа»?,Молочной,Кондитерской,Парфюмерной,Винно-водочной,2.0
3056,Сколько карманов должны иметь классические джинсы?,Два,Три,Четыре,Пять,4.0
3057,"Спутником какой планеты является Титан, превосходящий по размерам планету Меркурий?",Сатурна,Юпитера,Марса,Нептуна,1.0
3058,Кто из этих художников был директором Третьяковской галереи?,Игорь Грабарь,Валентин Серов,Кузьма Петров-Водкин,Казимир Малевич,1.0
3059,Какая участь у гвоздя?,Получает по шляпке,Гоняется за болтами,Ищет молоток,Влюбляется в стену,1.0
3060,Что не является ответом в игре «Морской бой»?,Мимо,Попал,Убит,Всплыл,4.0
3061,"Как заканчивается афоризм: «Время — лучший лекарь, но плохой…»?",Модельер,Косметолог,Портной,Аптекарь,2.0
3062,Как называется сервер органов государственной власти www.gov.ru?,«Родная страна»,«Жизнь Правительства»,«Официальная Россия»,«Слуги народа»,3.0
3063,Какой перевал есть в Альпах?,Ризен-Шнауцер,Сен-Бернар,Скотч-Терьер,Буль-Дог,2.0
3064,Какого цвета должен быть фонарь заднего хода автомобиля?,Красного,Желтого,Белого,Синего,3.0
3065,Кто научился ходить по канату специально для сьемок фильма «Три толстяка»?,Евгений Моргунов,Павел Луспекаев,Валентин Никулин,Алексей Баталов,4.0
3066,"Какой город Бог не разрушил бы, если бы в нём нашлось 10 праведников?",Содом,Иерихон,Тир,Ниневия,1.0
3067,Какое небесное тело отвечает за самый тяжелый день недели — понедельник?,Солнце,Луна,Марс,Юпитер,2.0
3068,"Где в Париже установили обелиск, который раньше находился перед храмом Рамзеса II?",Площадь Звезды,Сад Тюильри,Площадь Согласия,Монмартр,3.0
3069,Кто подписал указ об открытии первой русской танцевальной школы — в дальнейшем Академии русского балета?,Анна Иоанновна,Екатерина I,Екатерина II,Елизавета Петровна,1.0
3070,Какой из этих попугаев утратил способность взлетать?,Амазон,Какапо,Лори,Корелла,2.0
3071,Что из перечисленного в романе Стругацких «Пикник на обочине» связано с повышенной гравитацией?,«Жгучий пух»,«Ведьмин студень»,«Чертова капуста»,«Комариная плешь»,4.0
3072,Какой может быть гитара?,Огорченной,Расстроенной,Удрученной,В депрессии,2.0
3073,Как заканчивается пословица: «Гусь свинье…»?,Не подарит пера,Накрутит хвоста,Начистит пятачок,Не товарищ,4.0
3074,Как характеризуют скрываемый до поры времени аргумент?,Дама в кармане,Туз в рукаве,Король за спиной,Валет в ногах,2.0
3075,Как начиналось большинство исторических сочинений Древней Руси?,В лето,На зиму,Из осени,По весне,2.0
